================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
18	2707	698	SUCCESS	3
18	3075	799	SUCCESS	4
18	1229	318	SUCCESS	5
18	934	241	SUCCESS	6
18	1058	282	SUCCESS	7
18	2477	634	SUCCESS	8
18	3994	1035	SUCCESS	9
18	5084	1307	SUCCESS	10
18	7731	2001	SUCCESS	11
18	2453	636	SUCCESS	12
18	2267	585	SUCCESS	13
18	558	143	SUCCESS	14
18	2173	562	SUCCESS	15
18	422	108	SUCCESS	16
18	328	84	SUCCESS	17
18	7336	1896	SUCCESS	18
18	854	221	SUCCESS	19
18	4002	1039	SUCCESS	20
18	3270	847	SUCCESS	21
18	3752	975	SUCCESS	22
18	1096	283	SUCCESS	23
18	922	238	SUCCESS	24
18	2773	713	SUCCESS	25
18	2048	530	SUCCESS	26
18	920	238	SUCCESS	27
18	2722	709	SUCCESS	28
18	2639	685	SUCCESS	29
18	951	246	SUCCESS	30
18	2430	630	SUCCESS	31
18	4008	1039	SUCCESS	32
18	1388	361	SUCCESS	33
18	3290	850	SUCCESS	34
18	3301	860	SUCCESS	35
18	4776	1240	SUCCESS	36
18	953	245	SUCCESS	37
18	927	238	SUCCESS	38
18	2770	713	SUCCESS	39
18	2048	530	SUCCESS	40
18	919	238	SUCCESS	41
18	2717	709	SUCCESS	42
18	2637	685	SUCCESS	43
18	949	246	SUCCESS	44
18	2438	630	SUCCESS	45
18	4014	1039	SUCCESS	46
18	1387	361	SUCCESS	47
18	3288	850	SUCCESS	48
18	3300	860	SUCCESS	49
18	4785	1240	SUCCESS	50
********************************************************************************
19	7197	1597	SUCCESS	1
19	3073	680	SUCCESS	2
19	2514	559	SUCCESS	3
19	2194	485	SUCCESS	4
19	1139	254	SUCCESS	5
